[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:37 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:38 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:39 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:40 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:41 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 6.237s | Infer Batch: 40.9 | Total: 0:23:42 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 6.237s | Infer Batch: 40.9 | Total: 0:23:43 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 6.237s | Infer Batch: 40.9 | Total: 0:23:44 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 6.237s | Infer Batch: 40.9 | Total: 0:23:45 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 6.228s | Infer Batch: 40.9 | Total: 0:23:46 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:47 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:48 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:49 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:50 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:51 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:52 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:53 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:54 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:23:55 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:23:56 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:23:57 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:23:58 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:23:59 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:00 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:01 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:02 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:03 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:04 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:05 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:06 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 6.191s | Infer Batch: 40.9 | Total: 0:24:07 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:08 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:09 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:10 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:11 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:12 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:13 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:14 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:15 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:16 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:17 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:18 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 6.214s | Infer Batch: 40.9 | Total: 0:24:19 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:20 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:21 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:22 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:23 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:24 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:25 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 6.240s | Infer Batch: 40.9 | Total: 0:24:26 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 40.9 | Total: 0:24:27 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 40.9 | Total: 0:24:28 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 40.9 | Total: 0:24:29 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 41.0 | Total: 0:24:30 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 41.0 | Total: 0:24:31 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 41.0 | Total: 0:24:32 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 41.0 | Total: 0:24:33 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 6.243s | Infer Batch: 41.0 | Total: 0:24:34 | ETA: 0:00:01
