[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:47 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:48 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:49 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:50 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:51 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:52 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:53 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:54 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:55 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:56 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:57 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:58 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:59 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:00 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:01 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:02 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:03 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:04 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:05 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:06 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:42:07 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:08 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:09 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:10 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:11 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:12 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:13 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:14 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:15 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:16 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:17 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:18 | ETA: 0:00:01
[KGenerating Samples |##############################  | (245/256) Sample Time: 10.319s | Infer Batch: 39.8 | Total: 0:42:19 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:20 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:21 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:22 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:23 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:24 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:25 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:26 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:27 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:28 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:29 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:30 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:31 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:32 | ETA: 0:00:01
