[KGenerating Samples |############################    | (226/256) Sample Time: 5.530s | Infer Batch: 44.0 | Total: 0:20:49 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 5.530s | Infer Batch: 44.0 | Total: 0:20:50 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 5.530s | Infer Batch: 44.0 | Total: 0:20:51 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 5.530s | Infer Batch: 44.0 | Total: 0:20:52 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 5.530s | Infer Batch: 44.0 | Total: 0:20:53 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.502s | Infer Batch: 44.0 | Total: 0:20:54 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.502s | Infer Batch: 44.0 | Total: 0:20:55 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.502s | Infer Batch: 44.0 | Total: 0:20:56 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:20:57 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:20:58 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:20:59 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:00 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:01 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:02 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:03 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:04 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:05 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:06 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.481s | Infer Batch: 44.0 | Total: 0:21:07 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:08 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:09 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:10 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:11 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:12 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:13 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:14 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.490s | Infer Batch: 44.0 | Total: 0:21:15 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:16 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:17 | ETA: 0:00:01
