[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:46 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:47 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:48 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:50 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:51 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:52 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:53 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:54 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:55 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.618s | Infer Batch: 41.5 | Total: 0:17:56 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:17:57 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:17:58 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:17:59 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:00 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:01 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:02 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:03 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:04 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:05 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:06 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:07 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:08 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:18:09 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 4.657s | Infer Batch: 41.5 | Total: 0:18:10 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 4.657s | Infer Batch: 41.5 | Total: 0:18:11 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.646s | Infer Batch: 41.5 | Total: 0:18:12 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:13 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:14 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:15 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:16 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:17 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:18 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:19 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 4.631s | Infer Batch: 41.5 | Total: 0:18:20 | ETA: 0:00:01
