[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:43 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:44 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:45 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:46 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:47 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:49 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 3.314s | Infer Batch: 42.0 | Total: 0:11:50 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 3.305s | Infer Batch: 42.0 | Total: 0:11:51 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 3.305s | Infer Batch: 42.0 | Total: 0:11:52 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 3.305s | Infer Batch: 42.0 | Total: 0:11:53 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 3.305s | Infer Batch: 42.0 | Total: 0:11:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 3.310s | Infer Batch: 42.0 | Total: 0:11:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 3.310s | Infer Batch: 42.0 | Total: 0:11:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 3.310s | Infer Batch: 42.0 | Total: 0:11:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 3.308s | Infer Batch: 42.0 | Total: 0:11:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 3.297s | Infer Batch: 42.0 | Total: 0:11:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 3.297s | Infer Batch: 42.0 | Total: 0:12:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 3.297s | Infer Batch: 42.0 | Total: 0:12:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 3.298s | Infer Batch: 42.0 | Total: 0:12:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 3.298s | Infer Batch: 42.0 | Total: 0:12:03 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 3.298s | Infer Batch: 42.0 | Total: 0:12:04 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 3.298s | Infer Batch: 42.0 | Total: 0:12:05 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 3.299s | Infer Batch: 42.0 | Total: 0:12:06 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 3.299s | Infer Batch: 42.0 | Total: 0:12:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 3.291s | Infer Batch: 42.1 | Total: 0:12:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 3.291s | Infer Batch: 42.1 | Total: 0:12:09 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 3.291s | Infer Batch: 42.1 | Total: 0:12:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 3.291s | Infer Batch: 42.1 | Total: 0:12:11 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 3.291s | Infer Batch: 42.1 | Total: 0:12:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 3.287s | Infer Batch: 42.1 | Total: 0:12:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 3.287s | Infer Batch: 42.0 | Total: 0:12:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 3.287s | Infer Batch: 42.1 | Total: 0:12:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 3.287s | Infer Batch: 42.1 | Total: 0:12:16 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 3.287s | Infer Batch: 42.1 | Total: 0:12:17 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 3.287s | Infer Batch: 42.1 | Total: 0:12:18 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 3.282s | Infer Batch: 42.1 | Total: 0:12:19 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 3.282s | Infer Batch: 42.1 | Total: 0:12:20 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 3.282s | Infer Batch: 42.1 | Total: 0:12:21 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 3.281s | Infer Batch: 42.1 | Total: 0:12:22 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 3.281s | Infer Batch: 42.0 | Total: 0:12:23 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 3.264s | Infer Batch: 42.0 | Total: 0:12:24 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 3.264s | Infer Batch: 42.0 | Total: 0:12:25 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:26 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:27 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:28 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:29 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:30 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:31 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 3.256s | Infer Batch: 42.0 | Total: 0:12:32 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 3.273s | Infer Batch: 42.0 | Total: 0:12:33 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 3.273s | Infer Batch: 42.0 | Total: 0:12:34 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 3.273s | Infer Batch: 42.0 | Total: 0:12:35 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 3.272s | Infer Batch: 42.1 | Total: 0:12:36 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 3.265s | Infer Batch: 42.1 | Total: 0:12:37 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 3.265s | Infer Batch: 42.0 | Total: 0:12:38 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 3.265s | Infer Batch: 42.0 | Total: 0:12:39 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 3.265s | Infer Batch: 42.0 | Total: 0:12:40 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:41 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:42 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:43 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:44 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:45 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 3.268s | Infer Batch: 42.0 | Total: 0:12:46 | ETA: 0:00:01
