[KGenerating Samples |#############################   | (236/256) Sample Time: 5.280s | Infer Batch: 40.8 | Total: 0:20:50 | ETA: 0:00:01
[KGenerating Samples |#############################   | (237/256) Sample Time: 5.278s | Infer Batch: 40.8 | Total: 0:20:51 | ETA: 0:00:01
[KGenerating Samples |#############################   | (237/256) Sample Time: 5.278s | Infer Batch: 40.8 | Total: 0:20:52 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:53 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:54 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:55 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:56 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:57 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:58 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:20:59 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:00 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:01 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:02 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:03 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:04 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:05 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.8 | Total: 0:21:06 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 5.266s | Infer Batch: 40.9 | Total: 0:21:07 | ETA: 0:00:01
